Id,Number of gates,Parameterized gates,Non-local gates,Training time,Training iterations,CrossEntropy,Accuracy,Hilbert-Schmidt norm,Meyer Wallach
210,33,18,8,1374.673440694809,44,0.6216784837029327,0.7333333333333333,0.1452274279113671,0.7957777665421177
211,29,15,11,624.5193581581116,41,0.5962872533128004,0.7333333333333333,0.1306845724352121,0.868642258195371
212,26,10,9,461.21493196487427,27,1.1656039539003047,0.4666666666666667,0.2848158596860512,0.8542781900750396
213,32,16,9,485.33896040916443,30,0.8354062695077074,0.7333333333333333,0.14197122290095993,0.9350191985935881
214,19,6,11,404.774870634079,35,0.8448679106442429,0.7333333333333333,0.1354690224395114,0.7257021144938808
215,21,7,14,348.06955194473267,43,0.5982148768599025,0.7333333333333333,0.27448053988465004,0.3537335586341534
216,28,19,7,1048.3668739795685,40,0.7856706685945845,0.6666666666666666,0.1411782026471838,0.7792576537133792
217,24,9,12,1132.9452757835388,66,0.791971835776426,0.7333333333333333,0.14362394895677702,0.9603421790800158
218,26,11,10,909.3539202213287,82,0.7143231116118206,0.7333333333333333,0.13375659496684297,0.7308551561810839
219,28,14,10,391.08587288856506,29,0.6693689162384212,0.6666666666666666,0.14370977906221094,0.9038366340798389
220,32,17,9,1674.4153549671173,66,0.44812223529332623,0.8666666666666667,0.13084010188946807,0.9102177297280315
221,27,10,14,1031.7547116279602,52,0.755707603795372,0.7333333333333333,0.2838670493190011,0.953448501984229
222,32,18,9,730.364999294281,42,0.6329153071766228,0.8,0.14339403692958058,0.8937591008908715
223,25,6,11,509.18735218048096,34,1.0035019218250218,0.4666666666666667,0.45829119942391766,0.8155299244854273
224,25,10,11,444.39295649528503,39,0.9143954244389879,0.6,0.11498149300878187,0.971599356106939
225,27,15,9,839.5850441455841,38,0.6892449413226363,0.8,0.1328447005940674,0.8378266092318271
226,28,14,7,414.21108746528625,34,0.7300251611946795,0.8,0.12547414641547475,0.8171765566086623
227,25,11,9,381.06584882736206,35,0.867362571677731,0.6666666666666666,0.1462785675417006,0.8880887074695082
228,31,16,10,913.5494847297668,35,0.7813815087986795,0.6666666666666666,0.1313735034947672,0.6360262906139966
229,22,7,11,256.5536274909973,20,0.9786564805327324,0.5333333333333333,0.2725756001519682,0.77856613918525
230,33,15,8,998.326518535614,70,0.6037954563317758,0.8,0.13445982280557447,0.9291516228764546
231,23,6,12,475.274356842041,45,0.8643919851468829,0.8,0.29048847406764905,0.939339385279303
232,27,14,11,2343.084052801132,46,0.6373057334414234,0.8666666666666667,0.14401589177054272,0.9437412914648001
233,27,11,15,895.5682241916656,61,0.9237935992236626,0.6,0.14966179513558311,0.9165602606585159
234,28,17,8,1013.8503458499908,41,0.48541915650094863,0.8666666666666667,0.1376309474754308,0.8735782802082664
235,25,8,11,250.0977623462677,31,0.7874983032465327,0.6,0.13336514117736617,0.9737742101922771
236,23,13,9,699.4819242954254,38,0.8108667105058927,0.8,0.2742726906915592,0.9142383737398444
237,28,16,7,711.5186011791229,52,0.5678144846741442,0.8,0.13967452692932553,0.8360446245008174
238,20,9,7,321.6468026638031,45,0.8613597008189561,0.6666666666666666,0.29085697273211547,0.7079428762076556
239,30,16,11,1866.2265286445618,64,0.7005916125279412,0.6666666666666666,0.14357979796099365,0.7259511918022747
240,31,17,9,628.0344595909119,22,0.8348935541749293,0.6666666666666666,0.13975204453183426,0.8486739753534508
241,27,15,7,696.0027055740356,32,0.9390621050843847,0.6,0.136104263601357,0.7949151356147196
242,30,13,9,953.1479196548462,41,0.6132660899142915,0.7333333333333333,0.1311428687907182,0.8819062829406744
243,30,16,9,1935.8357212543488,82,0.7475028286966781,0.6666666666666666,0.14013284982200452,0.8791200196105625
244,25,11,9,538.5064508914948,28,0.6992931002425885,0.7333333333333333,0.14274136040264324,0.7278282160603601
245,26,11,11,1122.196121454239,54,0.4600984893270951,0.8,0.2690368229267707,0.9157084724406513
246,23,11,11,739.6734397411346,35,0.9382297417797695,0.6666666666666666,0.13318407762610207,0.9123946527494549
247,25,12,9,863.3586893081665,43,0.7041472419462994,0.7333333333333333,0.13779843185855595,0.8542989534241603
248,22,9,11,587.3410406112671,33,0.6383048027596224,0.8,0.1315478183314675,0.8883477279959098
249,28,11,9,575.4054200649261,29,0.8932824230893943,0.6666666666666666,0.12342329060813449,0.9854294395005618
250,31,23,7,1204.6593079566956,38,0.5608349538447117,0.6666666666666666,0.14253685389690793,0.8820590889918488
251,27,15,10,790.1505637168884,29,0.6209678919167599,0.9333333333333333,0.1288221743467071,0.7640886754265824
252,26,10,11,897.0307650566101,45,0.81981982872715,0.8,0.29521282112679464,1.0000037958284398
253,25,11,11,655.8179411888123,30,0.6079352426279276,0.8,0.28926983127668504,0.8811432449677079
254,26,11,12,664.4473669528961,29,0.6343128427713113,1.0,0.13747848754332503,0.7887200200595682
255,25,12,9,728.8955285549164,32,0.9085505798007301,0.5333333333333333,0.13472646827612683,0.8676642774380278
256,21,6,8,389.4339973926544,38,0.9602896756369238,0.6,0.13753005900927204,0.9417575340704449
257,23,11,8,1230.7609515190125,60,0.40843477748229556,1.0,0.1357587291924082,0.9326448876625788
258,23,5,16,326.3382179737091,23,1.276993687674063,0.13333333333333333,0.27569602768116785,1.0000000047766404
259,25,10,11,456.9999122619629,21,0.8572544261084654,0.7333333333333333,0.1406295345916455,0.8006038881446977
