Id,Number of gates,Parameterized gates,Non-local gates,Training time,Training iterations,CrossEntropy,Accuracy,Hilbert-Schmidt norm,Meyer Wallach,FP1,FP2,DKL
195,31,16,9,1533.1960833072662,66,0.6332383825750669,0.8666666666666667,0.14097184888259068,0.9483600376415575,0.06369700014386932,0.00953524936805518,0.08658004951796157
196,24,12,11,537.8827106952667,46,0.5828774046626729,0.5333333333333333,0.13704388754696684,0.7391395509374233,0.061757955690793405,0.01423489176890568,0.5704659131959989
197,30,18,11,1035.8733885288239,54,0.6818909630087762,0.7333333333333333,0.14098990623441904,0.9006759438260994,0.06207259251831723,0.009498141450798046,0.1374302890245327
198,22,10,11,1307.7935450077057,75,0.742188142165218,0.9333333333333333,0.27264236816049275,0.71824563676324,0.12592030766374793,0.0355457948070958,0.61438383450797
199,28,16,11,434.6452841758728,27,0.5898840889362867,0.8,0.13303289453198724,0.8161760326601333,0.0632087532218661,0.011790675842101665,0.24166631160385849
200,28,16,9,509.05033826828003,35,0.8278100767896416,0.6666666666666666,0.1310717808205634,0.7817181149646469,0.06386105600589237,0.010846793949048337,0.16684973459793773
201,27,12,10,1195.036400794983,60,0.6695038665273475,0.6666666666666666,0.12810788308156412,0.8276282902597404,0.06377942242581765,0.013249401932971387,0.36041769784895406
202,25,9,11,862.2813949584961,50,0.4775588092809129,0.9333333333333333,0.14458075750087584,0.76565842958802,0.06262714777592071,0.013307100719756562,0.39887183565488815
203,31,14,12,966.7237613201141,59,0.6509869310573575,0.8,0.1266303974731433,0.9510423649424743,0.06275018750850296,0.009427366981964346,0.09488878763626746
204,27,14,11,530.7801861763,36,0.635542799339803,0.9333333333333333,0.13478378475128217,0.934676047155699,0.06334032537145008,0.010057057956520798,0.11457257734892722
205,31,15,8,1240.4695615768433,54,0.7305402829323192,0.7333333333333333,0.14475483986149318,0.9921658641205218,0.06345603781932578,0.00884895410027326,0.06656743715162011
206,26,11,10,841.02126121521,42,0.988265734097876,0.4666666666666667,0.27402891590459083,0.5003456008663583,0.1242497301691048,0.03840146396652746,0.7289025892695729
207,23,9,11,433.8033995628357,48,0.8242097078821289,0.7333333333333333,0.13036075209002618,0.8135693851702492,0.06216952273626312,0.01475751624353621,0.6094284474398128
208,24,8,10,420.4897291660309,48,0.918596328688188,0.6,0.14063989370863222,0.9702949730873837,0.06332965344997679,0.014517564370957968,0.5411689612461136
209,26,13,11,1043.3474304676056,44,0.5200592414836649,0.7333333333333333,0.14407794920052322,0.9187384567861963,0.06352003127557683,0.009109153064159154,0.07246347244292775
210,33,18,8,1374.673440694809,44,0.6216784837029327,0.7333333333333333,0.1452274279113671,0.7957777665421177,0.06097432181361048,0.011699878643158166,0.30547325159042
211,29,15,11,624.5193581581116,41,0.5962872533128004,0.7333333333333333,0.1306845724352121,0.868642258195371,0.06245986362415969,0.009136640564332848,0.08827912581270123
212,26,10,9,461.21493196487427,27,1.1656039539003047,0.4666666666666667,0.2848158596860512,0.8542781900750396,0.12482829036284179,0.041238769537678285,0.8427973871081412
213,32,16,9,485.33896040916443,30,0.8354062695077074,0.7333333333333333,0.14197122290095993,0.9350191985935881,0.06339139043800666,0.012321409398059487,0.2756567512150002
214,19,6,11,404.774870634079,35,0.8448679106442429,0.7333333333333333,0.1354690224395114,0.7257021144938808,0.06405513274360669,0.018847954882528425,0.9771336916790462
215,21,7,14,348.06955194473267,43,0.5982148768599025,0.7333333333333333,0.27448053988465004,0.3537335586341534,0.12702870646777514,0.04991211923817224,1.323859445828304
216,28,19,7,1048.3668739795685,40,0.7856706685945845,0.6666666666666666,0.1411782026471838,0.7792576537133792,0.062368539431618436,0.010795257832247091,0.2692063327795151
217,24,9,12,1132.9452757835388,66,0.791971835776426,0.7333333333333333,0.14362394895677702,0.9603421790800158,0.06304447713744732,0.012622331409692517,0.28771367109946755
218,26,11,10,909.3539202213287,82,0.7143231116118206,0.7333333333333333,0.13375659496684297,0.7308551561810839,0.06149307505510117,0.01004812488684924,0.15055674427366833
219,28,14,10,391.08587288856506,29,0.6693689162384212,0.6666666666666666,0.14370977906221094,0.9038366340798389,0.0632850232887781,0.010450248024604291,0.1307467876842059
220,32,17,9,1674.4153549671173,66,0.44812223529332623,0.8666666666666667,0.13084010188946807,0.9102177297280315,0.062313293468854024,0.011692610015986388,0.2618522702212477
221,27,10,14,1031.7547116279602,52,0.755707603795372,0.7333333333333333,0.2838670493190011,0.953448501984229,0.12747535581652955,0.03873093864885402,0.7237087799623313
222,32,18,9,730.364999294281,42,0.6329153071766228,0.8,0.14339403692958058,0.8937591008908715,0.0620997250854615,0.010733776631815517,0.19776949416756218
223,25,6,11,509.18735218048096,34,1.0035019218250218,0.4666666666666667,0.45829119942391766,0.8155299244854273,0.25139932915324037,0.13078915091486332,3.618999659533931
224,25,10,11,444.39295649528503,39,0.9143954244389879,0.6,0.11498149300878187,0.971599356106939,0.06272859416146426,0.012945205928026076,0.4253653962123612
225,27,15,9,839.5850441455841,38,0.6892449413226363,0.8,0.1328447005940674,0.8378266092318271,0.06263684430819592,0.012014260534772819,0.34176804583101317
226,28,14,7,414.21108746528625,34,0.7300251611946795,0.8,0.12547414641547475,0.8171765566086623,0.06215651545570183,0.010522554193972014,0.1928161924279347
227,25,11,9,381.06584882736206,35,0.867362571677731,0.6666666666666666,0.1462785675417006,0.8880887074695082,0.061148362594596335,0.013562509673994583,0.5210484040427059
228,31,16,10,913.5494847297668,35,0.7813815087986795,0.6666666666666666,0.1313735034947672,0.6360262906139966,0.0633603073173229,0.015512445790972896,0.6838360752797944
229,22,7,11,256.5536274909973,20,0.9786564805327324,0.5333333333333333,0.2725756001519682,0.77856613918525,0.12507727027158058,0.04210084559151002,0.9275047239311534
230,33,15,8,998.326518535614,70,0.6037954563317758,0.8,0.13445982280557447,0.9291516228764546,0.06125282667086859,0.01058372209166255,0.1960680563705916
231,23,6,12,475.274356842041,45,0.8643919851468829,0.8,0.29048847406764905,0.939339385279303,0.12901803330542513,0.046116174729518254,1.0542257848368544
232,27,14,11,2343.084052801132,46,0.6373057334414234,0.8666666666666667,0.14401589177054272,0.9437412914648001,0.06120317496411893,0.010558251175320695,0.18769606610331196
233,27,11,15,895.5682241916656,61,0.9237935992236626,0.6,0.14966179513558311,0.9165602606585159,0.06333322552272316,0.011247323099407182,0.19286292008470857
234,28,17,8,1013.8503458499908,41,0.48541915650094863,0.8666666666666667,0.1376309474754308,0.8735782802082664,0.06468597082184839,0.011400919490684586,0.18455646710050094
235,25,8,11,250.0977623462677,31,0.7874983032465327,0.6,0.13336514117736617,0.9737742101922771,0.061281695279425785,0.012424822388359368,0.31857250152496697
236,23,13,9,699.4819242954254,38,0.8108667105058927,0.8,0.2742726906915592,0.9142383737398444,0.12686831781979555,0.0432748173578128,0.9752770707513008
